FLORIDA SOIL SERIES, TEXTURES, AND AVAIL. WATER CAPACITY
 766   NUMBER OF SOIL TYPES                             
3  29.05.05 41.10.15 80.05.05                           
139 CENTENARY            S    FS                        
3   9.03.08 58.03.05 72.03.08                           
140 CHAIRES              S    FS                        
4  28.02.05 54.05.10 68.10.15 80.12.17                  
141 CHAIRES,DP.          S    FS                        
4  28.02.05 54.05.10 68.10.15 80.12.17                  
142 CHARLOTTE            FS   S                         
4   6.05.10 19.03.07 46.05.08 65.03.07                  
143 CHEWACLA             FSL  SL                        
4   8.10.15 24.15.24 34.12.20 58.15.24                  
144 CHEWACLA             SIL  L                         
4   8.15.24 24.15.24 34.12.20 58.15.24                  
145 CHIEFLAND            S    FS                        
3   8.02.05 33.02.05 39.07.12                           
146 CHIPLEY              S    FS                        
2   6.05.10 77.03.08                                    
147 CHIPOLA              S    LS   LFS                  
4  35.06.10 56.10.17 75.06.14 94.02.06                  
148 CHOBEE               SL   FSL                       
3   7.10.15 63.12.17 75.06.10                           
149 CHOBEE               LS   LFS                       
3   7.10.15 63.12.17 75.06.10                           
150 CHOBEE,DP.           MK                             
4   4.30.50 16.10.15 53.12.17 80.10.15                  
151 CHOBEE,DP.           FS   LFS                       
4   4.15.25 16.10.15 53.12.17 80.10.15                  
152 CHOBEE,FL.           SL   FSL                       
3   7.10.15 63.12.17 75.06.10                           
153 CHOBEE,FL.           LS   LFS                       
3   7.10.15 63.12.17 75.06.10                           
154 CHOBEE VAR.          SCL                            
4  20.20.20 35.20.20 40.10.20 80.05.15                  
155 CITRONELLE           FS   S                         
2   2.05.10  9.05.10                                    
156 CLARENDON            LS   LFS  S                    
3  15.08.12 40.10.15 80.08.12                           
157 CLARENDON            SL   FSL                       
3  15.10.14 40.10.15 80.08.12                           
158 COCOA                S    FS   LS                   
2  32.02.05 38.05.10                                    
159 COCOA VAR.           S                              
2  14.50.10 25.50.50                                    
160 COCOA VAR.           FS                             
3  13.03.05 27.03.05 31.05.08                           
161 COMPASS              LS   LFS                       
4  16.05.10 33.10.15 57.10.15 74.14.18                  
162 CONGAREE             FSL  SL                        
2   8.12.18 38.12.20                                    
163 CONGAREE             L    SIL                       
2   8.12.20 38.12.20                                    
164 COPELAND             FS   LS   LFS                  
4  14.10.15 18.05.10 24.10.15 30.05.10                  
165 COPELAND,DP.         FS   LS   LFS                  
4  12.10.15 17.05.10 25.10.15 31.05.10                  
166 CORNELIA             S    FS                        
2  39.02.05 92.05.10                                    
167 COROLLA              S    FS                        
1  72.01.03                                             
168 COWARTS              LS   LFS                       
4   8.06.10 19.10.14 25.10.16 60.08.12                  
169 COWARTS              FSL  SL                        
4   8.08.13 19.10.14 25.10.16 60.08.12                  
170 COWARTS,GRV.         LS   LFS                       
4   8.04.08 19.10.14 25.10.16 60.08.12                  
171 COWARTS,GRV.         SL   FSL                       
4   8.06.12 19.10.14 25.10.16 60.08.12                  
172 COXVILLE             FSL  SL   L                    
2  11.12.17 72.14.18                                    
173 CROATAN              MK                             
3  28.35.45 38.10.15 60.12.20                           
174 CROATAN,FL.          SP                             
3  28.35.45 38.10.15 60.12.20                           
175 CROATAN,PD.          MK                             
3  28.35.45 38.10.15 60.12.20                           
176 CUTHBERT             LFS  FSL                       
4   8.11.15 29.10.15 34.09.15 60.08.15                  
177 CUTHBERT             LFS  FSL                       
4   8.10.14 29.10.15 34.09.15 60.08.15                  
178 CUTHBERT             LFS  FSL                       
4   8.08.12 29.10.15 34.09.15 60.08.15                  
179 CUTHBERT,GRAD.       C    SC                        
3  29.10.15 34.09.15 60.08.15                           
180 CUTHBERT,ST.         FSL  LFS                       
3   8.08.12 29.12.18 60.10.15                           
181 DADE                 FS   S                         
2  27.02.05 35.02.05                                    
182 DANIA                MK                             
2  14.20.30 18.02.10                                    
183 DAYTONA              S    FS   COS                  
3  36.02.05 47.10.15 80.02.05                           
184 DELAND               S    FS                        
4   4.02.05 55.02.05 67.10.15 94.10.15                  
185 DELKS                S    FS                        
4   4.05.10 27.02.05 46.10.15 60.12.17                  
186 DELRAY               FS   S    LS                   
4  18.10.15 46.05.08 60.10.15 75.07.10                  
187 DELRAY               FS   LFS                       
4  18.15.25 46.05.08 60.10.15 75.07.10                  
188 DELRAY,DP.           FS   S    LS                   
4   6.10.15 18.10.15 46.05.08 80.10.15                  
189 DELRAY,DP.           FS                             
4   6.15.25 18.10.15 46.05.08 80.10.15                  
190 DELRAY,DP.           MK                             
4   6.30.50 18.10.15 46.05.08 80.10.15                  
191 DELRAY,FL.           FS   S    LS                   
4  18.10.15 46.05.08 60.10.15 75.07.10                  
192 DELRAY,FL.           FS   LFS                       
4  18.15.25 46.05.08 60.10.15 75.07.10                  
193 DENAUD               MK                             
4  11.20.30 20.02.10 23.02.05 42.10.15                  
194 DOROVAN              MPT  MK                        
3   3.25.50 74.25.50 99.05.08                           
195 DOTHAN               LFS  LS                        
3  13.06.10 33.12.16 60.08.12                           
196 DOTHAN               FSL  SL                        
3  13.08.13 33.12.16 60.08.12                           
197 DOTHAN,GRV.          LFS  LS                        
3  13.04.08 33.12.16 60.06.12                           
198 DOTHAN,GRV.          FSL  SL                        
3  13.06.11 33.12.16 60.06.12                           
199 DUCKSTON             S    FS                        
1  72.02.05                                             
200 DUETTE               FS   S                         
3   3.03.06 66.02.05 80.10.15                           
201 DUNBAR               SL   FSL  L                    
2   8.10.15 80.13.18                                    
202 DUNBAR               LS                             
2   8.06.10 80.13.18                                    
203 DUPLIN               SL   FSL                       
2   8.10.15 80.13.18                                    
204 DUPLIN               LS                             
2   8.06.10 80.13.18                                    
205 DURBIN               MK                             
2  59.20.25 80.10.15                                    
206 EATON                LS   LFS                       
4  30.05.08 33.12.17 78.12.17 80.10.14                  
207 EATON                S    FS                        
4  30.03.05 33.12.17 78.12.17 80.10.14                  
208 EATON,DP.            MK                             
4   6.25.40 29.05.10 33.12.17 80.10.15                  
209 EATON,DP.            FS   S                         
4   6.15.20 29.05.10 33.12.17 80.10.15                  
210 EATON,DP.            LS   LFS                       
4   6.10.15 29.05.10 33.12.17 80.10.15                  
211 EAUGALLIE            S    FS                        
5  22.02.07 35.15.25 55.02.05 61.10.20 84.05.15         
212 EAUGALLIE,BD.SUBS.   S    FS                        
5   8.02.07 25.03.08 36.15.25 57.02.05 80.10.20         
213 EAUGALLIE,DP.        S    FS                        
5  24.02.07 37.15.25 55.02.05 63.10.20 80.05.15         
214 EAUGALLIE,LM.SUBS.   S    FS                        
5  27.02.05 40.05.10 55.02.05 65.10.15 68.05.15         
215 EBRO                 MK                             
1  65.35.45                                             
216 ECONFINA             S    FS                        
4  49.05.10 73.03.08 77.06.12 80.05.13                  
217 EGLIN                S    FS                        
3   2.05.10 60.05.10 80.07.13                           
218 ELECTRA              S    FS                        
4   7.05.10 47.02.07 60.10.15 80.10.15                  
219 ELECTRA,BD.          S    FS                        
5   3.05.10 35.02.07 40.10.15 46.02.07 80.10.15         
220 ELECTRA VAR.         S    FS                        
5   5.05.05 39.05.05 51.10.15 70.05.10 78.10.15         
221 ELECTRA VAR.         FS                             
4   4.10.15 38.10.15 53.15.20 80.10.15                  
222 ELECTRA VAR,OCC.FL.  FS                             
4   2.10.15 39.10.15 58.15.20 80.10.15                  
223 ELLABELLE            LS   LFS                       
2  27.05.08 72.12.18                                    
224 ELLZEY               FS   S                         
4  12.10.20 37.10.15 58.15.20 80.10.15                  
225 ELRED                COS  S    FS                   
4  16.05.05 33.05.05 48.10.15 62.05.05                  
226 EMERALDA             LFS  FSL                       
4   6.15.20 11.05.10 56.10.20 66.10.20                  
227 EMERALDA             FS   LS                        
4   6.10.15 11.05.10 56.10.20 66.10.20                  
228 ESCAMBIA             FSL  VFSL SL                   
3  13.11.15 35.15.20 72.10.18                           
229 ESCAMBIA             L    SIL                       
3  13.11.15 35.15.20 72.10.18                           
230 ESTERO               MK                             
5   5.20.35 13.10.15 33.07.13 55.10.15 80.05.10         
231 ESTO                 LS   LFS                       
3   8.06.10 13.12.17 62.12.18                           
232 ESTO                 FSL  SL   L                    
3   8.11.15 13.12.17 62.12.18                           
233 EULONIA              LS   LFS                       
3  13.06.09 48.12.16 58.10.14                           
234 EULONIA              SL   FSL                       
3  13.08.12 48.12.16 58.10.14                           
235 EUREKA               LFS  FS                        
2  11.10.15 72.15.20                                    
236 EUSTIS               S    FS                        
4   6.08.10 24.05.08 76.07.11 98.05.07                  
237 EUSTIS               LS   LFS                       
4   6.08.10 24.05.08 76.07.11 98.05.07                  
238 EVERGLADES           MK   MPT                       
3   8.20.25 28.45.50 80.45.50                           
239 FACEVILLE            LS   LFS                       
3   5.06.09 11.12.15 72.12.18                           
240 FACEVILLE            SL   FSL                       
3   5.06.09 11.12.15 72.12.18                           
241 FACEVILLE            SCL                            
3   5.10.13 11.12.15 72.12.18                           
242 FARMTON              FS   S                         
4   7.08.20 34.02.10 50.10.25 80.10.17                  
243 FELDA                S    FS                        
3  22.02.05 32.10.15 60.02.05                           
244 FELDA,DP.            S    FS                        
3  22.02.05 32.10.15 60.02.05                           
245 FELDA,FL.            S    FS                        
3  22.02.05 32.10.15 60.02.05                           
246 FELLOWSHIP           LS   LFS  SL                   
5  11.07.12 18.10.14 25.15.20 42.15.20 80.15.20         
247 FELLOWSHIP,DP.       LS   LFS  FSL                  
5  11.07.12 18.10.14 25.15.20 42.15.20 80.15.20         
248 FELLOWSHIP VAR,GRV.  LFS  LS                        
5  14.02.05 20.05.07 36.06.09 43.13.17 70.13.17         
249 FLEMINGTON           LS   LFS  FSL                  
4   9.08.13 27.12.15 53.12.18 75.15.18                  
250 FLEMINGTON VAR.      FS                             
2   5.05.15 80.10.20                                    
251 FLORAHOME            S    FS                        
2  36.07.12 80.03.10                                    
252 FLORIDANA            FS   S                         
3  12.10.20 29.05.10 62.10.20                           
253 FLORIDANA            FS                             
3  12.15.20 29.05.10 62.10.20                           
254 FLORIDANA,DP.        S    FS   FS                   
3  21.10.20 25.05.10 80.10.20                           
255 FLORIDANA,FL.        FS   S    FS                   
3  18.10.20 28.05.10 80.10.20                           
256 FLORIDANA VAR.       S    FS   LFS                  
3  11.10.20 23.05.10 70.10.20                           
257 FLORIDANA VAR.       FS   LFS                       
5   8.10.15 22.05.10 42.10.15 59.06.15 80.14.18         
258 FLUVAQUENTS          C                              
6   7.12.18 19.06.14 25.12.18 38.06.14 47.12.18 65.02.10
259 FORT MEADE           LS   LFS  FS                   
2  17.08.15 80.06.10                                    
260 FORT MEADE VAR.      LFS                            
2  16.08.12 80.06.10                                    
261 FOXWORTH             S    FS                        
2  52.02.10 80.02.08                                    
262 FOXWORTH VAR.        S    FS                        
3   9.05.10 73.03.08 80.10.15                           
263 FRIPP                FS   S                         
2   5.02.08 80.01.03                                    
264 FT.DRUM              S    FS                        
4   5.05.10 17.05.08 25.10.15 70.05.08                  
265 FT.GREEN             S    FS                        
4  17.10.15 31.02.10 42.10.15 80.12.18                  
266 FT.GREEN,BD.         S    FS                        
4  28.05.10 38.12.18 58.12.18 80.10.15                  
267 FUQUAY               LS   LFS                       
3  34.04.09 45.12.15 96.10.13                           
268 FUQUAY               S    FS                        
3  34.03.07 45.12.15 96.10.13                           
269 FUQUAY,GRV.          LS   LFS                       
3  34.04.09 45.12.15 96.10.13                           
270 FUQUAY,GRV.          S    FS                        
3  34.03.07 45.12.15 96.10.13                           
271 GAINESVILLE          LS   LFS  FS                   
1  80.05.10                                             
272 GALVESTON            FS   S    LFS                  
2   4.05.10 70.05.10                                    
273 GARCON               LFS  LS   FS                   
5   8.10.15 31.05.10 51.10.15 58.07.10 80.05.08         
274 GARCON,FL.           LFS  LS   FS                   
4  18.10.15 28.05.10 51.10.15 80.05.08                  
275 GATOR                MK   PT                        
4  29.30.40 34.03.05 68.10.15 80.03.05                  
276 GATOR,FL.            MK   SP                        
4  34.30.40 46.10.15 52.10.15 58.03.05                  
277 GENTRY               S    FS                        
3  24.10.15 64.10.20 80.05.10                           
278 GILEAD               LS   LS                        
4   5.05.09  8.10.15 42.12.16 72.10.15                  
279 GILEAD               SL   SL                        
4   5.08.12  8.10.15 42.12.16 72.10.15                  
280 GOLDSBORO            SL   FSL                       
3  15.08.12 45.11.15 65.11.15                           
281 GOLDSBORO            LS   LFS                       
3  15.06.11 45.11.15 65.11.15                           
282 GRADY                L    CL                        
3   5.10.18 11.10.15 62.12.16                           
283 GRADY                SL   FSL                       
3   5.10.15 11.10.15 62.12.16                           
284 GRADY,DR.            L    CL                        
3   5.10.18 11.10.15 62.12.16                           
285 GRADY,DR.            SL   FSL                       
3   5.10.15 11.10.15 62.12.16                           
286 GREENVILLE           SL   FSL                       
2   9.07.14 80.14.18                                    
287 GREENVILLE           L    SCL  CL                   
2   9.12.18 80.14.18                                    
288 GREENVILLE           LS   LFS                       
2   9.06.11 80.14.18                                    
289 GRITNEY              LS   LFS                       
4   7.05.08 12.10.15 31.10.15 50.10.15                  
290 GRITNEY              SL   FSL                       
4   7.10.15 12.10.15 31.10.15 50.10.15                  
291 GUNTER               FS   LFS  LS                   
3  46.05.10 57.08.12 75.10.15                           
292 HAGUE                S    FS                        
4  24.05.08 49.12.17 74.10.14 80.06.10                  
293 HAGUE                LS   LFS                       
4  24.06.10 49.12.17 74.10.14 80.06.10                  
294 HALLANDALE           FS   S                         
4   4.05.11 10.03.08 14.03.08 16.05.10                  
295 HALLANDALE,DP.       S    FS                        
2   3.05.10 15.03.05                                    
296 HALLANDALE,SL.       FS   S                         
2   2.03.05 11.05.08                                    
297 HALLANDALE,TD.       FS   S                         
3   2.03.05 16.05.10 19.03.05                           
298 HANDSBORO            SIL  L    SICL                 
1   2.20.30                                             
299 HANNAHATCHEE         FSL                            
2   7.11.15 80.12.20                                    
300 HANNAHATCHEE         L    SCL  CL                   
2   7.12.20 80.12.20                                    
301 HAPLAQUENTS,CLY.     C                              
1  80.15.20                                             
302 HEIGHTS              S    FS                        
4  29.05.08 36.10.16 42.12.18 80.12.20                  
303 HEROD                SL                             
3  12.10.16 50.14.20 62.12.16                           
304 HEROD                L                              
3  12.12.20 50.14.20 62.12.16                           
305 HILOLO               S    FS                        
5   7.05.10 12.10.15 28.10.15 53.10.15 80.05.10         
306 HILOLO               LS   LFS                       
5   7.08.12 12.10.15 28.10.15 53.10.15 80.05.10         
307 HOBE                 S    FS                        
5   4.05.08 70.01.05 74.10.15 78.08.12 88.11.15         
308 HOLOPAW              S    FS                        
3  45.07.10 62.15.20 71.05.10                           
309 HOLOPAW,DP.          S    FS                        
3  43.03.10 65.10.20 75.05.10                           
310 HOLOPAW,FREQ.FL.     FS   S                         
3  50.03.07 68.10.15 80.05.10                           
311 HOLOPAW,LM.SUBS.     S    FS                        
2  45.07.10 60.15.20                                    
312 HOMOSASSA            LFS  FSL                       
3   8.20.25 15.10.15 27.07.12                           
313 HONTOON              MK                             
2  60.20.25 65.15.20                                    
314 HORNSVILLE           LS   LFS                       
3   9.06.09 43.12.16 76.10.14                           
315 HORNSVILLE           SL   FSL                       
3   9.08.12 43.12.16 76.10.14                           
316 HURRICANE            S    FS                        
3  51.03.07 55.10.15 80.03.10                           
317 HURRICANE,FL.        LS   LFS                       
4   6.05.10 51.03.07 55.10.15 80.03.10                  
318 HURRICANE,FL.        S    FS                        
4   6.03.07 51.03.07 55.10.15 80.03.10                  
319 HYDRAQUENTS          SIC                            
1  80.15.20                                             
320 IBERIA               SICL                           
3   5.17.22 37.14.18 75.14.20                           
321 IBERIA               SIC  C                         
3   5.15.19 37.14.18 75.14.20                           
322 ICHETUCKNEE          FS   S    LFS                  
2  13.05.08 55.12.18                                    
323 IMMOKALEE            FS   S                         
4   6.05.10 35.02.05 54.10.25 72.02.05                  
324 IMMOKALEE,DP.        FS   S                         
4   6.05.10 35.02.05 54.10.25 72.02.05                  
325 IMMOKALEE,LM.SUBS.   S    FS                        
3   5.05.10 48.02.05 58.10.25                           
326 IRVINGTON            FSL  SL   L                    
4   6.10.15 33.12.18 61.12.18 82.13.19                  
327 ISLES                MK   SP                        
4   5.10.15 11.05.14 39.05.08 47.12.18                  
328 ISLES                S    FS   FS                   
4   5.05.14 11.05.14 39.05.08 47.12.18                  
329 ISLES,DP.            S    FS                        
3   5.05.10 21.05.10 47.12.18                           
330 ISLES,SL.            S    FS                        
3   6.05.10 33.05.10 51.12.18                           
331 ISTOKPOGA            MK                             
2  11.20.25 79.20.25                                    
332 IUKA                 LS   LFS                       
3  13.06.10 22.10.20 60.10.20                           
333 IUKA                 FSL  SL                        
3  13.10.15 22.10.20 60.10.20                           
