 16 PERENNIAL CROPS : ROOT ZONE AND WATER USE COEFFICIENT DATA
  CROP  DEPTH(IN) .............  KC  / AWD  ...........................
BEANS,DRY     8 12 1.05 0.30 0.18 0.28 0.36 0.18 0.45 0.45 0.45 0.67
BEETS         8 12 1.00 0.90 0.21 0.36 0.29 0.14 0.50 0.50 0.50 0.50
BROCCOLI      8 12 1.00 0.85 0.25 0.38 0.25 0.12 0.50 0.50 0.50 0.50
BRUSSEL SPTS  8 12 1.00 0.85 0.25 0.38 0.25 0.12 0.50 0.50 0.50 0.50
CABBAGE       8 12 1.00 0.85 0.25 0.38 0.25 0.12 0.45 0.45 0.45 0.45
CARROTS       8 12 1.00 0.70 0.20 0.30 0.30 0.20 0.35 0.35 0.35 0.35
CAULIFLOWER   8 12 1.00 0.85 0.25 0.38 0.25 0.12 0.50 0.50 0.50 0.50
CELERY        8 12 1.00 0.90 0.20 0.32 0.36 0.12 0.20 0.20 0.20 0.20
CLOVER       12 18 1.00 0.90 0.15 0.20 0.55 0.10 0.35 0.35 0.35 0.35
CORN,FIELD   12 18 1.05 0.55 0.16 0.28 0.32 0.24 0.60 0.60 0.60 0.80
CORN,SWEET   12 18 1.05 0.95 0.25 0.25 0.38 0.12 0.35 0.35 0.35 0.35
COTTON       12 24 1.05 0.65 0.17 0.28 0.30 0.25 0.60 0.70 0.60 0.80
CUCUMBER      8 12 0.90 0.80 0.19 0.29 0.38 0.14 0.50 0.50 0.50 0.50
EGGPLANT      8 12 0.95 0.80 0.23 0.31 0.31 0.15 0.40 0.40 0.40 0.40
FIELD CROPS  12 18 1.05 0.60 0.20 0.30 0.30 0.20 0.50 0.50 0.50 0.67
GENERIC CROP  8 12 1.00 0.90 0.25 0.33 0.25 0.17 0.50 0.50 0.50 0.50
GREENS,HERBS  8 12 0.95 0.90 0.33 0.33 0.25 0.09 0.20 0.20 0.20 0.20
LETTUCE       8 12 0.95 0.90 0.27 0.40 0.20 0.13 0.30 0.30 0.30 0.30
MELONS        8 18 0.95 0.65 0.21 0.29 0.33 0.17 0.35 0.35 0.35 0.35
MILLET,FORGE 12 18 1.00 0.30 0.15 0.21 0.39 0.25 0.60 0.60 0.60 0.60
MILLET,GRAIN 12 18 1.00 0.30 0.15 0.21 0.39 0.25 0.60 0.60 0.60 0.90
OATS         12 18 1.05 0.25 0.15 0.19 0.44 0.22 0.60 0.60 0.60 0.90
ONION,DRY     8 12 0.95 0.75 0.10 0.17 0.47 0.26 0.25 0.25 0.25 0.90
ONION,GRN.    8 12 0.95 0.95 0.36 0.43 0.14 0.07 0.25 0.25 0.25 0.25
PEANUTS      12 18 1.00 0.55 0.25 0.32 0.25 0.18 0.50 0.40 0.50 0.50
PEAS          8 12 1.05 0.95 0.25 0.30 0.30 0.15 0.40 0.40 0.40 0.40
PEPPERS,GRN.  8 12 0.95 0.80 0.24 0.28 0.32 0.16 0.35 0.35 0.35 0.35
POTATOES     12 18 1.05 0.70 0.23 0.29 0.29 0.19 0.25 0.25 0.25 0.40
RADISH        6  8 0.80 0.75 0.14 0.29 0.43 0.14 0.33 0.33 0.33 0.33
RICE         12 18 1.20 1.05 0.25 0.25 0.25 0.25 0.00 0.00 0.00 0.00
SMALL GRAINS 12 18 1.05 0.30 0.15 0.21 0.41 0.23 0.58 0.58 0.58 0.90
SMALL VEGETS  8 12 1.00 0.85 0.24 0.33 0.29 0.14 0.37 0.37 0.37 0.40
SORGHUM      12 24 1.00 0.50 0.17 0.25 0.33 0.25 0.55 0.55 0.55 0.80
SOYBEAN      12 18 1.05 0.45 0.14 0.25 0.43 0.18 0.50 0.50 0.50 0.67
SPINACH       8 12 0.95 0.90 0.33 0.33 0.25 0.09 0.20 0.20 0.20 0.20
SQUASH        8 12 0.90 0.70 0.25 0.35 0.25 0.15 0.33 0.33 0.33 0.33
STRAWBERRY    8 10 1.00 0.90 0.25 0.35 0.25 0.15 0.33 0.33 0.33 0.33
SUNFLOWERS   12 18 1.05 0.40 0.16 0.28 0.36 0.20 0.45 0.45 0.45 0.67
SWEET POTATO 12 18 1.05 0.70 0.23 0.29 0.29 0.19 0.65 0.65 0.65 0.65
TOBACCO      12 18 1.05 0.60 0.22 0.30 0.30 0.18 0.35 0.35 0.35 0.65
TOMATO        9 12 1.05 0.75 0.22 0.30 0.30 0.18 0.40 0.40 0.40 0.65
WHEAT        12 18 1.05 0.25 0.15 0.19 0.44 0.22 0.55 0.55 0.55 0.90
